"","Nest_Code","Day_of_trial","Daily_score","Predator","Treatment","Round_of_experiment","Start_date_of_trial","Site","GPS_coordinates","Number_of_trees_within_20m","Distance_to_path","Distance_to_building","Distance_to_edge_of_heath","Heath_degradation_Score","Removed_YN"
"65","12B",3,0,NA,"Experimental","R1","01/08/2019","S2","(50.7652281, -1.9580957)",7,25,650,174,0,"N"
"66","12B",4,0,NA,"Experimental","R1","01/08/2019","S2","(50.7652281, -1.9580957)",7,25,650,174,0,"N"
"67","12B",5,0,NA,"Experimental","R1","01/08/2019","S2","(50.7652281, -1.9580957)",7,25,650,174,0,"N"
"68","12B",6,0,NA,"Experimental","R1","01/08/2019","S2","(50.7652281, -1.9580957)",7,25,650,174,0,"N"
"69","12B",7,0,NA,"Experimental","R1","01/08/2019","S2","(50.7652281, -1.9580957)",7,25,650,174,0,"N"
"70","12C",1,4,"Rodent","Experimental","R2","12/08/2019","S4","(50.7562491, -1.9460573)",1,24,255,215,3,"N"
"71","12C",2,0,NA,"Experimental","R2","12/08/2019","S4","(50.7562491, -1.9460573)",1,24,255,215,3,"N"
"72","12C",3,0,NA,"Experimental","R2","12/08/2019","S4","(50.7562491, -1.9460573)",1,24,255,215,3,"N"
"73","12C",4,0,NA,"Experimental","R2","12/08/2019","S4","(50.7562491, -1.9460573)",1,24,255,215,3,"N"
"74","12C",5,0,NA,"Experimental","R2","12/08/2019","S4","(50.7562491, -1.9460573)",1,24,255,215,3,"N"
"75","12C",6,0,NA,"Experimental","R2","12/08/2019","S4","(50.7562491, -1.9460573)",1,24,255,215,3,"N"
"76","12C",7,0,NA,"Experimental","R2","12/08/2019","S4","(50.7562491, -1.9460573)",1,24,255,215,3,"N"
"77","12D",1,0,NA,"Control","R3","25/08/2019","S2","(50.7654187, -1.9610317)",8,4,790,112,0,"N"
"78","12D",2,2,"Rodent","Control","R3","25/08/2019","S2","(50.7654187, -1.9610317)",8,4,790,112,0,"N"
"79","12D",3,0,NA,"Control","R3","25/08/2019","S2","(50.7654187, -1.9610317)",8,4,790,112,0,"N"
"80","12D",4,0,NA,"Control","R3","25/08/2019","S2","(50.7654187, -1.9610317)",8,4,790,112,0,"N"
"81","12D",5,0,NA,"Control","R3","25/08/2019","S2","(50.7654187, -1.9610317)",8,4,790,112,0,"N"
"82","12D",6,0,NA,"Control","R3","25/08/2019","S2","(50.7654187, -1.9610317)",8,4,790,112,0,"N"
"83","12D",7,0,NA,"Control","R3","25/08/2019","S2","(50.7654187, -1.9610317)",8,4,790,112,0,"N"
"84","13B",1,2,"Rodent","Experimental","R1","01/08/2019","S2","(50.7651560, -1.9584789)",7,53,680,174,1,"N"
"85","13B",2,NA,"Large_Mammal/Bird","Experimental","R1","01/08/2019","S2","(50.7651560, -1.9584789)",7,53,680,174,1,"Y"
"86","13C",1,2,"Rodent","Experimental","R2","12/08/2019","S4","(50.7558534, -1.9458015)",2,56,214,115,4,"N"
"87","13C",2,0,NA,"Experimental","R2","12/08/2019","S4","(50.7558534, -1.9458015)",2,56,214,115,4,"N"
"88","13C",3,4,"Rodent","Experimental","R2","12/08/2019","S4","(50.7558534, -1.9458015)",2,56,214,115,4,"N"
"89","13C",4,0,NA,"Experimental","R2","12/08/2019","S4","(50.7558534, -1.9458015)",2,56,214,115,4,"N"
"90","13C",5,4,"Rodent","Experimental","R2","12/08/2019","S4","(50.7558534, -1.9458015)",2,56,214,115,4,"N"
"91","13C",6,3,"Rodent","Experimental","R2","12/08/2019","S4","(50.7558534, -1.9458015)",2,56,214,115,4,"N"
"92","13C",7,0,NA,"Experimental","R2","12/08/2019","S4","(50.7558534, -1.9458015)",2,56,214,115,4,"N"
"93","13D",1,0,NA,"Experimental","R3","25/08/2019","S2","(50.7654227, -1.9600242)",5,26,735,105,0,"N"
"94","13D",2,0,NA,"Experimental","R3","25/08/2019","S2","(50.7654227, -1.9600242)",5,26,735,105,0,"N"
"95","13D",3,2,"Rodent","Experimental","R3","25/08/2019","S2","(50.7654227, -1.9600242)",5,26,735,105,0,"N"
"96","13D",4,0,NA,"Experimental","R3","25/08/2019","S2","(50.7654227, -1.9600242)",5,26,735,105,0,"N"
"97","13D",5,0,NA,"Experimental","R3","25/08/2019","S2","(50.7654227, -1.9600242)",5,26,735,105,0,"N"
"98","13D",6,0,NA,"Experimental","R3","25/08/2019","S2","(50.7654227, -1.9600242)",5,26,735,105,0,"N"
"99","13D",7,0,NA,"Experimental","R3","25/08/2019","S2","(50.7654227, -1.9600242)",5,26,735,105,0,"N"
"100","14B",1,1,"Unidentified","Control","R1","01/08/2019","S2","(50.7648067, -1.9582728)",20,42,700,216,0,"N"
"101","14B",2,0,NA,"Control","R1","01/08/2019","S2","(50.7648067, -1.9582728)",20,42,700,216,0,"N"
"102","14B",3,0,NA,"Control","R1","01/08/2019","S2","(50.7648067, -1.9582728)",20,42,700,216,0,"N"
"103","14B",4,0,NA,"Control","R1","01/08/2019","S2","(50.7648067, -1.9582728)",20,42,700,216,0,"N"
"104","14B",5,0,NA,"Control","R1","01/08/2019","S2","(50.7648067, -1.9582728)",20,42,700,216,0,"N"
"105","14B",6,0,NA,"Control","R1","01/08/2019","S2","(50.7648067, -1.9582728)",20,42,700,216,0,"N"
"106","14B",7,0,NA,"Control","R1","01/08/2019","S2","(50.7648067, -1.9582728)",20,42,700,216,0,"N"
"107","14C",1,4,"Rodent","Experimental","R2","12/08/2019","S4","(50.7555322, -1.9463832)",3,6,235,120,4,"N"
"108","14C",2,4,"Rodent","Experimental","R2","12/08/2019","S4","(50.7555322, -1.9463832)",3,6,235,120,4,"N"
"109","14C",3,0,NA,"Experimental","R2","12/08/2019","S4","(50.7555322, -1.9463832)",3,6,235,120,4,"N"
"110","14C",4,0,NA,"Experimental","R2","12/08/2019","S4","(50.7555322, -1.9463832)",3,6,235,120,4,"N"
"111","14C",5,0,NA,"Experimental","R2","12/08/2019","S4","(50.7555322, -1.9463832)",3,6,235,120,4,"N"
"112","14C",6,3,"Rodent","Experimental","R2","12/08/2019","S4","(50.7555322, -1.9463832)",3,6,235,120,4,"N"
"113","14C",7,0,NA,"Experimental","R2","12/08/2019","S4","(50.7555322, -1.9463832)",3,6,235,120,4,"N"
"114","14D",1,0,NA,"Experimental","R3","25/08/2019","S2","(50.7650489, -1.9597983)",4,63,750,150,0,"N"
"115","14D",2,1,"Unidentified","Experimental","R3","25/08/2019","S2","(50.7650489, -1.9597983)",4,63,750,150,0,"N"
"116","14D",3,0,NA,"Experimental","R3","25/08/2019","S2","(50.7650489, -1.9597983)",4,63,750,150,0,"N"
"117","14D",4,0,NA,"Experimental","R3","25/08/2019","S2","(50.7650489, -1.9597983)",4,63,750,150,0,"N"
"118","14D",5,0,NA,"Experimental","R3","25/08/2019","S2","(50.7650489, -1.9597983)",4,63,750,150,0,"N"
"119","14D",6,0,NA,"Experimental","R3","25/08/2019","S2","(50.7650489, -1.9597983)",4,63,750,150,0,"N"
"120","14D",7,0,NA,"Experimental","R3","25/08/2019","S2","(50.7650489, -1.9597983)",4,63,750,150,0,"N"
"121","15B",1,2,"Rodent","Control","R1","01/08/2019","S2","(50.7645736, -1.9590680)",5,102,755,218,0,"N"
"122","15B",2,1,"Unidentified","Control","R1","01/08/2019","S2","(50.7645736, -1.9590680)",5,102,755,218,0,"N"
"123","15B",3,2,"Rodent","Control","R1","01/08/2019","S2","(50.7645736, -1.9590680)",5,102,755,218,0,"N"
"124","15B",4,0,NA,"Control","R1","01/08/2019","S2","(50.7645736, -1.9590680)",5,102,755,218,0,"N"
"125","15B",5,4,"Rodent","Control","R1","01/08/2019","S2","(50.7645736, -1.9590680)",5,102,755,218,0,"N"
"126","15B",6,0,NA,"Control","R1","01/08/2019","S2","(50.7645736, -1.9590680)",5,102,755,218,0,"N"
"127","15B",7,0,NA,"Control","R1","01/08/2019","S2","(50.7645736, -1.9590680)",5,102,755,218,0,"N"
"128","15C",1,4,"Rodent","Control","R2","12/08/2019","S4","(50.7555159, -1.9453864)",9,29,170,68,4,"N"
"129","15C",2,0,NA,"Control","R2","12/08/2019","S4","(50.7555159, -1.9453864)",9,29,170,68,4,"N"
"130","15C",3,0,NA,"Control","R2","12/08/2019","S4","(50.7555159, -1.9453864)",9,29,170,68,4,"N"
"131","15C",4,0,NA,"Control","R2","12/08/2019","S4","(50.7555159, -1.9453864)",9,29,170,68,4,"N"
"132","15C",5,0,NA,"Control","R2","12/08/2019","S4","(50.7555159, -1.9453864)",9,29,170,68,4,"N"
"133","15C",6,0,NA,"Control","R2","12/08/2019","S4","(50.7555159, -1.9453864)",9,29,170,68,4,"N"
"134","15C",7,2,"Rodent","Control","R2","12/08/2019","S4","(50.7555159, -1.9453864)",9,29,170,68,4,"N"
"135","15D",1,2,"Rodent","Experimental","R3","25/08/2019","S2","(50.7646254, -1.9601858)",15,109,805,195,0,"N"
