"","Nest_Code","Day_of_trial","Daily_score","Predator","Treatment","Round_of_experiment","Start_date_of_trial","Site","GPS_coordinates","Number_of_trees_within_20m","Distance_to_path","Distance_to_building","Distance_to_edge_of_heath","Heath_degradation_Score","Removed_YN"
"248","20D",2,4,"Rodent","Control","R3","25/08/2019","S1","(50.7658935, -1.9624899)",2,17,745,105,0,"N"
"249","20D",3,0,NA,"Control","R3","25/08/2019","S1","(50.7658935, -1.9624899)",2,17,745,105,0,"N"
"250","20D",4,0,NA,"Control","R3","25/08/2019","S1","(50.7658935, -1.9624899)",2,17,745,105,0,"N"
"251","20D",5,0,NA,"Control","R3","25/08/2019","S1","(50.7658935, -1.9624899)",2,17,745,105,0,"N"
"252","20D",6,0,NA,"Control","R3","25/08/2019","S1","(50.7658935, -1.9624899)",2,17,745,105,0,"N"
"253","20D",7,0,NA,"Control","R3","25/08/2019","S1","(50.7658935, -1.9624899)",2,17,745,105,0,"N"
"254","21B",1,4,"Rodent","Experimental","R1","01/08/2019","S2","(50.7638511, -1.9618746)",2,106,960,300,0,"N"
"255","21B",2,0,NA,"Experimental","R1","01/08/2019","S2","(50.7638511, -1.9618746)",2,106,960,300,0,"N"
"256","21B",3,0,NA,"Experimental","R1","01/08/2019","S2","(50.7638511, -1.9618746)",2,106,960,300,0,"N"
"257","21B",4,0,NA,"Experimental","R1","01/08/2019","S2","(50.7638511, -1.9618746)",2,106,960,300,0,"N"
"258","21B",5,0,NA,"Experimental","R1","01/08/2019","S2","(50.7638511, -1.9618746)",2,106,960,300,0,"N"
"259","21B",6,3,"Rodent","Experimental","R1","01/08/2019","S2","(50.7638511, -1.9618746)",2,106,960,300,0,"N"
"260","21B",7,0,NA,"Experimental","R1","01/08/2019","S2","(50.7638511, -1.9618746)",2,106,960,300,0,"N"
"261","21C",1,0,NA,"Control","R2","12/08/2019","S5","(50.7545406, -1.9634249)",1,4,52,41,2,"N"
"262","21C",2,0,NA,"Control","R2","12/08/2019","S5","(50.7545406, -1.9634249)",1,4,52,41,2,"N"
"263","21C",3,4,"Rodent","Control","R2","12/08/2019","S5","(50.7545406, -1.9634249)",1,4,52,41,2,"N"
"264","21C",4,0,NA,"Control","R2","12/08/2019","S5","(50.7545406, -1.9634249)",1,4,52,41,2,"N"
"265","21C",5,0,NA,"Control","R2","12/08/2019","S5","(50.7545406, -1.9634249)",1,4,52,41,2,"N"
"266","21C",6,0,NA,"Control","R2","12/08/2019","S5","(50.7545406, -1.9634249)",1,4,52,41,2,"N"
"267","21C",7,0,NA,"Control","R2","12/08/2019","S5","(50.7545406, -1.9634249)",1,4,52,41,2,"N"
"268","21D",1,2,"Rodent","Experimental","R3","25/08/2019","S7","(50.7680463, -1.9666000)",4,17,420,156,0,"N"
"269","21D",2,0,NA,"Experimental","R3","25/08/2019","S7","(50.7680463, -1.9666000)",4,17,420,156,0,"N"
"270","21D",3,0,NA,"Experimental","R3","25/08/2019","S7","(50.7680463, -1.9666000)",4,17,420,156,0,"N"
"271","21D",4,1,"Unidentified","Experimental","R3","25/08/2019","S7","(50.7680463, -1.9666000)",4,17,420,156,0,"N"
"272","21D",5,0,NA,"Experimental","R3","25/08/2019","S7","(50.7680463, -1.9666000)",4,17,420,156,0,"N"
"273","21D",6,0,NA,"Experimental","R3","25/08/2019","S7","(50.7680463, -1.9666000)",4,17,420,156,0,"N"
"274","21D",7,0,NA,"Experimental","R3","25/08/2019","S7","(50.7680463, -1.9666000)",4,17,420,156,0,"N"
"275","22B",1,0,NA,"Experimental","R1","01/08/2019","S2","(50.7636257, -1.9619648)",1,85,970,320,0,"N"
"276","22B",2,NA,"Large_Mammal/Bird","Experimental","R1","01/08/2019","S2","(50.7636257, -1.9619648)",1,85,970,320,0,"Y"
"277","22C",1,0,NA,"Experimental","R2","12/08/2019","S5","(50.7549112, -1.9634672)",1,10,14,10,0,"N"
"278","22C",2,4,"Rodent","Experimental","R2","12/08/2019","S5","(50.7549112, -1.9634672)",1,10,14,10,0,"N"
"279","22C",3,0,NA,"Experimental","R2","12/08/2019","S5","(50.7549112, -1.9634672)",1,10,14,10,0,"N"
"280","22C",4,4,"Rodent","Experimental","R2","12/08/2019","S5","(50.7549112, -1.9634672)",1,10,14,10,0,"N"
"281","22C",5,0,NA,"Experimental","R2","12/08/2019","S5","(50.7549112, -1.9634672)",1,10,14,10,0,"N"
"282","22C",6,0,NA,"Experimental","R2","12/08/2019","S5","(50.7549112, -1.9634672)",1,10,14,10,0,"N"
"283","22C",7,0,NA,"Experimental","R2","12/08/2019","S5","(50.7549112, -1.9634672)",1,10,14,10,0,"N"
"284","22D",1,3,"Rodent","Experimental","R3","25/08/2019","S7","(50.7679593, -1.9670895)",3,25,415,195,2,"N"
"285","22D",2,0,NA,"Experimental","R3","25/08/2019","S7","(50.7679593, -1.9670895)",3,25,415,195,2,"N"
"286","22D",3,0,NA,"Experimental","R3","25/08/2019","S7","(50.7679593, -1.9670895)",3,25,415,195,2,"N"
"287","22D",4,3,"Rodent","Experimental","R3","25/08/2019","S7","(50.7679593, -1.9670895)",3,25,415,195,2,"N"
"288","22D",5,0,NA,"Experimental","R3","25/08/2019","S7","(50.7679593, -1.9670895)",3,25,415,195,2,"N"
"289","22D",6,0,NA,"Experimental","R3","25/08/2019","S7","(50.7679593, -1.9670895)",3,25,415,195,2,"N"
"290","22D",7,0,NA,"Experimental","R3","25/08/2019","S7","(50.7679593, -1.9670895)",3,25,415,195,2,"N"
"291","23B",1,0,NA,"Control","R1","01/08/2019","S2","(50.7635288, -1.9622555)",7,74,995,340,0,"N"
"292","23B",2,0,NA,"Control","R1","01/08/2019","S2","(50.7635288, -1.9622555)",7,74,995,340,0,"N"
"293","23B",3,0,NA,"Control","R1","01/08/2019","S2","(50.7635288, -1.9622555)",7,74,995,340,0,"N"
"294","23B",4,0,NA,"Control","R1","01/08/2019","S2","(50.7635288, -1.9622555)",7,74,995,340,0,"N"
"295","23B",5,0,NA,"Control","R1","01/08/2019","S2","(50.7635288, -1.9622555)",7,74,995,340,0,"N"
"296","23B",6,1,"Unidentified","Control","R1","01/08/2019","S2","(50.7635288, -1.9622555)",7,74,995,340,0,"N"
"297","23B",7,0,NA,"Control","R1","01/08/2019","S2","(50.7635288, -1.9622555)",7,74,995,340,0,"N"
"298","23C",1,0,NA,"Experimental","R2","12/08/2019","S5","(50.7542886, -1.9622994)",10,8,120,107,3,"N"
"299","23C",2,2,"Rodent","Experimental","R2","12/08/2019","S5","(50.7542886, -1.9622994)",10,8,120,107,3,"N"
"300","23C",3,0,NA,"Experimental","R2","12/08/2019","S5","(50.7542886, -1.9622994)",10,8,120,107,3,"N"
"301","23C",4,0,NA,"Experimental","R2","12/08/2019","S5","(50.7542886, -1.9622994)",10,8,120,107,3,"N"
"302","23C",5,0,NA,"Experimental","R2","12/08/2019","S5","(50.7542886, -1.9622994)",10,8,120,107,3,"N"
"303","23C",6,0,NA,"Experimental","R2","12/08/2019","S5","(50.7542886, -1.9622994)",10,8,120,107,3,"N"
"304","23C",7,0,NA,"Experimental","R2","12/08/2019","S5","(50.7542886, -1.9622994)",10,8,120,107,3,"N"
"305","23D",1,1,"Unidentified","Experimental","R3","25/08/2019","S7","(50.7675692, -1.9678824)",16,14,450,260,2,"N"
"306","23D",2,3,"Rodent","Experimental","R3","25/08/2019","S7","(50.7675692, -1.9678824)",16,14,450,260,2,"N"
"307","23D",3,4,"Rodent","Experimental","R3","25/08/2019","S7","(50.7675692, -1.9678824)",16,14,450,260,2,"N"
"308","23D",4,3,"Rodent","Experimental","R3","25/08/2019","S7","(50.7675692, -1.9678824)",16,14,450,260,2,"N"
"309","23D",5,0,NA,"Experimental","R3","25/08/2019","S7","(50.7675692, -1.9678824)",16,14,450,260,2,"N"
"310","23D",6,0,NA,"Experimental","R3","25/08/2019","S7","(50.7675692, -1.9678824)",16,14,450,260,2,"N"
"311","23D",7,0,NA,"Experimental","R3","25/08/2019","S7","(50.7675692, -1.9678824)",16,14,450,260,2,"N"
"312","24B",1,4,"Rodent","Experimental","R1","01/08/2019","S2","(50.7633608, -1.9624449)",4,56,1020,365,1,"N"
"313","24B",2,4,"Rodent","Experimental","R1","01/08/2019","S2","(50.7633608, -1.9624449)",4,56,1020,365,1,"N"
"314","24B",3,0,NA,"Experimental","R1","01/08/2019","S2","(50.7633608, -1.9624449)",4,56,1020,365,1,"N"
"315","24B",4,0,NA,"Experimental","R1","01/08/2019","S2","(50.7633608, -1.9624449)",4,56,1020,365,1,"N"
"316","24B",5,0,NA,"Experimental","R1","01/08/2019","S2","(50.7633608, -1.9624449)",4,56,1020,365,1,"N"
"317","24B",6,NA,"Large_Mammal/Bird","Experimental","R1","01/08/2019","S2","(50.7633608, -1.9624449)",4,56,1020,365,1,"Y"
"318","24C",1,0,NA,"Experimental","R2","12/08/2019","S5","(50.7548147, -1.9622169)",6,25,94,82,0,"N"
"319","24C",2,0,NA,"Experimental","R2","12/08/2019","S5","(50.7548147, -1.9622169)",6,25,94,82,0,"N"
"320","24C",3,0,NA,"Experimental","R2","12/08/2019","S5","(50.7548147, -1.9622169)",6,25,94,82,0,"N"
"321","24C",4,2,"Rodent","Experimental","R2","12/08/2019","S5","(50.7548147, -1.9622169)",6,25,94,82,0,"N"
"322","24C",5,0,NA,"Experimental","R2","12/08/2019","S5","(50.7548147, -1.9622169)",6,25,94,82,0,"N"
"323","24C",6,0,NA,"Experimental","R2","12/08/2019","S5","(50.7548147, -1.9622169)",6,25,94,82,0,"N"
"324","24C",7,0,NA,"Experimental","R2","12/08/2019","S5","(50.7548147, -1.9622169)",6,25,94,82,0,"N"
"325","24D",1,0,NA,"Control","R3","25/08/2019","S7","(50.767214, -1.968253)",24,27,485,300,2,"N"
"326","24D",2,1,"Unidentified","Control","R3","25/08/2019","S7","(50.767214, -1.968253)",24,27,485,300,2,"N"
"327","24D",3,0,NA,"Control","R3","25/08/2019","S7","(50.767214, -1.968253)",24,27,485,300,2,"N"
"328","24D",4,0,NA,"Control","R3","25/08/2019","S7","(50.767214, -1.968253)",24,27,485,300,2,"N"
"329","24D",5,0,NA,"Control","R3","25/08/2019","S7","(50.767214, -1.968253)",24,27,485,300,2,"N"
"330","24D",6,0,NA,"Control","R3","25/08/2019","S7","(50.767214, -1.968253)",24,27,485,300,2,"N"
"331","24D",7,0,NA,"Control","R3","25/08/2019","S7","(50.767214, -1.968253)",24,27,485,300,2,"N"
"332","25B",1,0,NA,"Control","R1","01/08/2019","S2","(50.7635530, -1.9632483)",0,80,1040,360,0,"N"
"333","25B",2,0,NA,"Control","R1","01/08/2019","S2","(50.7635530, -1.9632483)",0,80,1040,360,0,"N"
"334","25B",3,0,NA,"Control","R1","01/08/2019","S2","(50.7635530, -1.9632483)",0,80,1040,360,0,"N"
"335","25B",4,0,NA,"Control","R1","01/08/2019","S2","(50.7635530, -1.9632483)",0,80,1040,360,0,"N"
"336","25B",5,0,NA,"Control","R1","01/08/2019","S2","(50.7635530, -1.9632483)",0,80,1040,360,0,"N"
"337","25B",6,0,NA,"Control","R1","01/08/2019","S2","(50.7635530, -1.9632483)",0,80,1040,360,0,"N"
"338","25B",7,0,NA,"Control","R1","01/08/2019","S2","(50.7635530, -1.9632483)",0,80,1040,360,0,"N"
"339","25C",1,1,"Unidentified","Control","R2","12/08/2019","S5","(50.7545886, -1.9617462)",6,12,135,127,0,"N"
"340","25C",2,0,NA,"Control","R2","12/08/2019","S5","(50.7545886, -1.9617462)",6,12,135,127,0,"N"
"341","25C",3,0,NA,"Control","R2","12/08/2019","S5","(50.7545886, -1.9617462)",6,12,135,127,0,"N"
"342","25C",4,2,"Unidentified","Control","R2","12/08/2019","S5","(50.7545886, -1.9617462)",6,12,135,127,0,"N"
"343","25C",5,2,"Unidentified","Control","R2","12/08/2019","S5","(50.7545886, -1.9617462)",6,12,135,127,0,"N"
"344","25C",6,0,NA,"Control","R2","12/08/2019","S5","(50.7545886, -1.9617462)",6,12,135,127,0,"N"
"345","25C",7,2,"Rodent","Control","R2","12/08/2019","S5","(50.7545886, -1.9617462)",6,12,135,127,0,"N"
"346","25D",1,2,"Rodent","Experimental","R3","25/08/2019","S7","(50.7678287, -1.9685570)",4,11,410,400,0,"N"
"347","25D",2,4,"Rodent","Experimental","R3","25/08/2019","S7","(50.7678287, -1.9685570)",4,11,410,400,0,"N"
"348","25D",3,0,NA,"Experimental","R3","25/08/2019","S7","(50.7678287, -1.9685570)",4,11,410,400,0,"N"
"349","25D",4,0,NA,"Experimental","R3","25/08/2019","S7","(50.7678287, -1.9685570)",4,11,410,400,0,"N"
"350","25D",5,0,NA,"Experimental","R3","25/08/2019","S7","(50.7678287, -1.9685570)",4,11,410,400,0,"N"
"351","25D",6,0,NA,"Experimental","R3","25/08/2019","S7","(50.7678287, -1.9685570)",4,11,410,400,0,"N"
"352","25D",7,0,NA,"Experimental","R3","25/08/2019","S7","(50.7678287, -1.9685570)",4,11,410,400,0,"N"
"353","26B",1,0,NA,"Experimental","R1","01/08/2019","S2","(50.7635854, -1.9636523)",3,66,940,365,0,"N"
"354","26B",2,0,NA,"Experimental","R1","01/08/2019","S2","(50.7635854, -1.9636523)",3,66,940,365,0,"N"
"355","26B",3,0,NA,"Experimental","R1","01/08/2019","S2","(50.7635854, -1.9636523)",3,66,940,365,0,"N"
"356","26B",4,0,NA,"Experimental","R1","01/08/2019","S2","(50.7635854, -1.9636523)",3,66,940,365,0,"N"
"357","26B",5,0,NA,"Experimental","R1","01/08/2019","S2","(50.7635854, -1.9636523)",3,66,940,365,0,"N"
"358","26B",6,0,NA,"Experimental","R1","01/08/2019","S2","(50.7635854, -1.9636523)",3,66,940,365,0,"N"
"359","26B",7,1,"Unidentified","Experimental","R1","01/08/2019","S2","(50.7635854, -1.9636523)",3,66,940,365,0,"N"
"360","26C",1,0,NA,"Control","R2","12/08/2019","S5","(50.7545279, -1.9610482)",5,2,163,144,0,"N"
"361","26C",2,2,"Rodent","Control","R2","12/08/2019","S5","(50.7545279, -1.9610482)",5,2,163,144,0,"N"
"362","26C",3,0,NA,"Control","R2","12/08/2019","S5","(50.7545279, -1.9610482)",5,2,163,144,0,"N"
"363","26C",4,4,"Rodent","Control","R2","12/08/2019","S5","(50.7545279, -1.9610482)",5,2,163,144,0,"N"
"364","26C",5,0,NA,"Control","R2","12/08/2019","S5","(50.7545279, -1.9610482)",5,2,163,144,0,"N"
"365","26C",6,0,NA,"Control","R2","12/08/2019","S5","(50.7545279, -1.9610482)",5,2,163,144,0,"N"
"366","26C",7,0,NA,"Control","R2","12/08/2019","S5","(50.7545279, -1.9610482)",5,2,163,144,0,"N"
"367","26D",1,2,"Rodent","Control","R3","25/08/2019","S7","(50.7680883, -1.9691273)",2,19,390,330,2,"N"
"368","26D",2,0,NA,"Control","R3","25/08/2019","S7","(50.7680883, -1.9691273)",2,19,390,330,2,"N"
"369","26D",3,0,NA,"Control","R3","25/08/2019","S7","(50.7680883, -1.9691273)",2,19,390,330,2,"N"
"370","26D",4,0,NA,"Control","R3","25/08/2019","S7","(50.7680883, -1.9691273)",2,19,390,330,2,"N"
"371","26D",5,0,NA,"Control","R3","25/08/2019","S7","(50.7680883, -1.9691273)",2,19,390,330,2,"N"
"372","26D",6,0,NA,"Control","R3","25/08/2019","S7","(50.7680883, -1.9691273)",2,19,390,330,2,"N"
"373","26D",7,0,NA,"Control","R3","25/08/2019","S7","(50.7680883, -1.9691273)",2,19,390,330,2,"N"
"374","27B",1,1,"Unidentified","Control","R1","01/08/2019","S2","(50.7635712, -1.9640053)",2,42,920,380,0,"N"
"375","27B",2,0,NA,"Control","R1","01/08/2019","S2","(50.7635712, -1.9640053)",2,42,920,380,0,"N"
"376","27B",3,0,NA,"Control","R1","01/08/2019","S2","(50.7635712, -1.9640053)",2,42,920,380,0,"N"
"377","27B",4,0,NA,"Control","R1","01/08/2019","S2","(50.7635712, -1.9640053)",2,42,920,380,0,"N"
"378","27B",5,0,NA,"Control","R1","01/08/2019","S2","(50.7635712, -1.9640053)",2,42,920,380,0,"N"
"379","27B",6,0,NA,"Control","R1","01/08/2019","S2","(50.7635712, -1.9640053)",2,42,920,380,0,"N"
"380","27B",7,0,NA,"Control","R1","01/08/2019","S2","(50.7635712, -1.9640053)",2,42,920,380,0,"N"
"381","27C",1,0,NA,"Experimental","R2","12/08/2019","S5","(50.7548577, -1.9600179)",2,5,153,113,0,"N"
"382","27C",2,0,NA,"Experimental","R2","12/08/2019","S5","(50.7548577, -1.9600179)",2,5,153,113,0,"N"
"383","27C",3,3,"Rodent","Experimental","R2","12/08/2019","S5","(50.7548577, -1.9600179)",2,5,153,113,0,"N"
"384","27C",4,0,NA,"Experimental","R2","12/08/2019","S5","(50.7548577, -1.9600179)",2,5,153,113,0,"N"
"385","27C",5,0,NA,"Experimental","R2","12/08/2019","S5","(50.7548577, -1.9600179)",2,5,153,113,0,"N"
"386","27C",6,0,NA,"Experimental","R2","12/08/2019","S5","(50.7548577, -1.9600179)",2,5,153,113,0,"N"
"387","27C",7,3,"Rodent","Experimental","R2","12/08/2019","S5","(50.7548577, -1.9600179)",2,5,153,113,0,"N"
"388","27D",1,1,"Unidentified","Control","R3","25/08/2019","S7","(50.7685474, -1.9692121)",3,21,340,330,0,"N"
"389","27D",2,0,NA,"Control","R3","25/08/2019","S7","(50.7685474, -1.9692121)",3,21,340,330,0,"N"
"390","27D",3,0,NA,"Control","R3","25/08/2019","S7","(50.7685474, -1.9692121)",3,21,340,330,0,"N"
"391","27D",4,0,NA,"Control","R3","25/08/2019","S7","(50.7685474, -1.9692121)",3,21,340,330,0,"N"
"392","27D",5,0,NA,"Control","R3","25/08/2019","S7","(50.7685474, -1.9692121)",3,21,340,330,0,"N"
"393","27D",6,0,NA,"Control","R3","25/08/2019","S7","(50.7685474, -1.9692121)",3,21,340,330,0,"N"
"394","27D",7,1,"Unidentified","Control","R3","25/08/2019","S7","(50.7685474, -1.9692121)",3,21,340,330,0,"N"
"395","28B",1,2,"Rodent","Experimental","R1","01/08/2019","S2","(50.7639048, -1.9639493)",3,64,900,340,0,"N"
"396","28B",2,2,"Rodent","Experimental","R1","01/08/2019","S2","(50.7639048, -1.9639493)",3,64,900,340,0,"N"
"397","28B",3,0,NA,"Experimental","R1","01/08/2019","S2","(50.7639048, -1.9639493)",3,64,900,340,0,"N"
"398","28B",4,0,NA,"Experimental","R1","01/08/2019","S2","(50.7639048, -1.9639493)",3,64,900,340,0,"N"
"399","28B",5,1,"Unidentified","Experimental","R1","01/08/2019","S2","(50.7639048, -1.9639493)",3,64,900,340,0,"N"
"400","28B",6,3,"Rodent","Experimental","R1","01/08/2019","S2","(50.7639048, -1.9639493)",3,64,900,340,0,"N"
"401","28B",7,4,"Rodent","Experimental","R1","01/08/2019","S2","(50.7639048, -1.9639493)",3,64,900,340,0,"N"
"402","28C",1,0,NA,"Experimental","R2","12/08/2019","S5","(50.7548509, -1.9609674)",6,6,175,160,1,"N"
"403","28C",2,0,NA,"Experimental","R2","12/08/2019","S5","(50.7548509, -1.9609674)",6,6,175,160,1,"N"
"404","28C",3,2,"Rodent","Experimental","R2","12/08/2019","S5","(50.7548509, -1.9609674)",6,6,175,160,1,"N"
"405","28C",4,0,NA,"Experimental","R2","12/08/2019","S5","(50.7548509, -1.9609674)",6,6,175,160,1,"N"
"406","28C",5,0,NA,"Experimental","R2","12/08/2019","S5","(50.7548509, -1.9609674)",6,6,175,160,1,"N"
"407","28C",6,0,NA,"Experimental","R2","12/08/2019","S5","(50.7548509, -1.9609674)",6,6,175,160,1,"N"
"408","28C",7,0,NA,"Experimental","R2","12/08/2019","S5","(50.7548509, -1.9609674)",6,6,175,160,1,"N"
"409","28D",1,0,NA,"Control","R3","25/08/2019","S7","(50.7690790, -1.9697365)",1,45,290,290,1,"N"
"410","28D",2,0,NA,"Control","R3","25/08/2019","S7","(50.7690790, -1.9697365)",1,45,290,290,1,"N"
"411","28D",3,0,NA,"Control","R3","25/08/2019","S7","(50.7690790, -1.9697365)",1,45,290,290,1,"N"
"412","28D",4,0,NA,"Control","R3","25/08/2019","S7","(50.7690790, -1.9697365)",1,45,290,290,1,"N"
"413","28D",5,0,NA,"Control","R3","25/08/2019","S7","(50.7690790, -1.9697365)",1,45,290,290,1,"N"
"414","28D",6,0,NA,"Control","R3","25/08/2019","S7","(50.7690790, -1.9697365)",1,45,290,290,1,"N"
"415","28D",7,2,"Rodent","Control","R3","25/08/2019","S7","(50.7690790, -1.9697365)",1,45,290,290,1,"N"
"416","29B",1,2,"Rodent","Experimental","R1","01/08/2019","S2","(50.7641692, -1.9638970)",0,90,895,315,0,"N"
"417","29B",2,0,NA,"Experimental","R1","01/08/2019","S2","(50.7641692, -1.9638970)",0,90,895,315,0,"N"
"418","29B",3,0,NA,"Experimental","R1","01/08/2019","S2","(50.7641692, -1.9638970)",0,90,895,315,0,"N"
"419","29B",4,0,NA,"Experimental","R1","01/08/2019","S2","(50.7641692, -1.9638970)",0,90,895,315,0,"N"
"420","29B",5,0,NA,"Experimental","R1","01/08/2019","S2","(50.7641692, -1.9638970)",0,90,895,315,0,"N"
"421","29B",6,0,NA,"Experimental","R1","01/08/2019","S2","(50.7641692, -1.9638970)",0,90,895,315,0,"N"
"422","29B",7,0,NA,"Experimental","R1","01/08/2019","S2","(50.7641692, -1.9638970)",0,90,895,315,0,"N"
"423","29C",1,1,"Unidentified","Control","R2","12/08/2019","S5","(50.7553256, -1.9603474)",3,16,215,170,0,"N"
"424","29C",2,2,"Rodent","Control","R2","12/08/2019","S5","(50.7553256, -1.9603474)",3,16,215,170,0,"N"
"425","29C",3,4,"Rodent","Control","R2","12/08/2019","S5","(50.7553256, -1.9603474)",3,16,215,170,0,"N"
"426","29C",4,0,NA,"Control","R2","12/08/2019","S5","(50.7553256, -1.9603474)",3,16,215,170,0,"N"
"427","29C",5,0,NA,"Control","R2","12/08/2019","S5","(50.7553256, -1.9603474)",3,16,215,170,0,"N"
"428","29C",6,0,NA,"Control","R2","12/08/2019","S5","(50.7553256, -1.9603474)",3,16,215,170,0,"N"
"429","29C",7,0,NA,"Control","R2","12/08/2019","S5","(50.7553256, -1.9603474)",3,16,215,170,0,"N"
"430","29D",1,2,"Unidentified","Experimental","R3","25/08/2019","S7","(50.7695505, -1.9698143)",1,78,235,235,1,"N"
"431","29D",2,0,NA,"Experimental","R3","25/08/2019","S7","(50.7695505, -1.9698143)",1,78,235,235,1,"N"
"432","29D",3,0,NA,"Experimental","R3","25/08/2019","S7","(50.7695505, -1.9698143)",1,78,235,235,1,"N"
"433","29D",4,0,NA,"Experimental","R3","25/08/2019","S7","(50.7695505, -1.9698143)",1,78,235,235,1,"N"
"434","29D",5,0,NA,"Experimental","R3","25/08/2019","S7","(50.7695505, -1.9698143)",1,78,235,235,1,"N"
"435","29D",6,0,NA,"Experimental","R3","25/08/2019","S7","(50.7695505, -1.9698143)",1,78,235,235,1,"N"
"436","29D",7,0,NA,"Experimental","R3","25/08/2019","S7","(50.7695505, -1.9698143)",1,78,235,235,1,"N"
"446","2B",1,0,NA,"Experimental","R1","01/08/2019","S2","(50.7658704, -1.9612912)",2,28,775,70,0,"N"
"447","2B",2,2,"Rodent","Experimental","R1","01/08/2019","S2","(50.7658704, -1.9612912)",2,28,775,70,0,"N"
"448","2B",3,0,NA,"Experimental","R1","01/08/2019","S2","(50.7658704, -1.9612912)",2,28,775,70,0,"N"
"449","2B",4,0,NA,"Experimental","R1","01/08/2019","S2","(50.7658704, -1.9612912)",2,28,775,70,0,"N"
"450","2B",5,3,"Rodent","Experimental","R1","01/08/2019","S2","(50.7658704, -1.9612912)",2,28,775,70,0,"N"
"451","2B",6,0,NA,"Experimental","R1","01/08/2019","S2","(50.7658704, -1.9612912)",2,28,775,70,0,"N"
"452","2B",7,0,NA,"Experimental","R1","01/08/2019","S2","(50.7658704, -1.9612912)",2,28,775,70,0,"N"
"453","2C",1,0,NA,"Experimental","R2","12/08/2019","S3","(50.7597930, -1.9579291)",7,4,610,610,1,"N"
"454","2C",2,0,NA,"Experimental","R2","12/08/2019","S3","(50.7597930, -1.9579291)",7,4,610,610,1,"N"
"455","2C",3,0,NA,"Experimental","R2","12/08/2019","S3","(50.7597930, -1.9579291)",7,4,610,610,1,"N"
"456","2C",4,0,NA,"Experimental","R2","12/08/2019","S3","(50.7597930, -1.9579291)",7,4,610,610,1,"N"
"457","2C",5,0,NA,"Experimental","R2","12/08/2019","S3","(50.7597930, -1.9579291)",7,4,610,610,1,"N"
"458","2C",6,0,NA,"Experimental","R2","12/08/2019","S3","(50.7597930, -1.9579291)",7,4,610,610,1,"N"
"459","2C",7,0,NA,"Experimental","R2","12/08/2019","S3","(50.7597930, -1.9579291)",7,4,610,610,1,"N"
"460","2D",1,0,NA,"Control","R3","25/08/2019","S6","(50.7581650, -1.9754590)",10,10,50,42,0,"N"
"461","2D",2,0,NA,"Control","R3","25/08/2019","S6","(50.7581650, -1.9754590)",10,10,50,42,0,"N"
"462","2D",3,1,"Unidentified","Control","R3","25/08/2019","S6","(50.7581650, -1.9754590)",10,10,50,42,0,"N"
"463","2D",4,0,NA,"Control","R3","25/08/2019","S6","(50.7581650, -1.9754590)",10,10,50,42,0,"N"
"464","2D",5,0,NA,"Control","R3","25/08/2019","S6","(50.7581650, -1.9754590)",10,10,50,42,0,"N"
"465","2D",6,0,NA,"Control","R3","25/08/2019","S6","(50.7581650, -1.9754590)",10,10,50,42,0,"N"
"466","2D",7,0,NA,"Control","R3","25/08/2019","S6","(50.7581650, -1.9754590)",10,10,50,42,0,"N"
"467","30B",1,1,"Unidentified","Experimental","R1","01/08/2019","S2","(50.7644337, -1.9635487)",0,74,910,275,1,"N"
"468","30B",2,3,"Rodent","Experimental","R1","01/08/2019","S2","(50.7644337, -1.9635487)",0,74,910,275,1,"N"
"469","30B",3,0,NA,"Experimental","R1","01/08/2019","S2","(50.7644337, -1.9635487)",0,74,910,275,1,"N"
"470","30B",4,3,"Rodent","Experimental","R1","01/08/2019","S2","(50.7644337, -1.9635487)",0,74,910,275,1,"N"
"471","30B",5,0,NA,"Experimental","R1","01/08/2019","S2","(50.7644337, -1.9635487)",0,74,910,275,1,"N"
"472","30B",6,0,NA,"Experimental","R1","01/08/2019","S2","(50.7644337, -1.9635487)",0,74,910,275,1,"N"
"473","30B",7,0,NA,"Experimental","R1","01/08/2019","S2","(50.7644337, -1.9635487)",0,74,910,275,1,"N"
"474","30C",1,0,NA,"Control","R2","12/08/2019","S5","(50.7556232, -1.9606153)",2,2,200,186,0,"N"
"475","30C",2,4,"Rodent","Control","R2","12/08/2019","S5","(50.7556232, -1.9606153)",2,2,200,186,0,"N"
"476","30C",3,0,NA,"Control","R2","12/08/2019","S5","(50.7556232, -1.9606153)",2,2,200,186,0,"N"
"477","30C",4,0,NA,"Control","R2","12/08/2019","S5","(50.7556232, -1.9606153)",2,2,200,186,0,"N"
"478","30C",5,2,"Rodent","Control","R2","12/08/2019","S5","(50.7556232, -1.9606153)",2,2,200,186,0,"N"
"479","30C",6,0,NA,"Control","R2","12/08/2019","S5","(50.7556232, -1.9606153)",2,2,200,186,0,"N"
"480","30C",7,0,NA,"Control","R2","12/08/2019","S5","(50.7556232, -1.9606153)",2,2,200,186,0,"N"
"481","30D",1,0,NA,"Control","R3","25/08/2019","S7","(50.7692893, -1.9704838)",1,35,280,255,1,"N"
"482","30D",2,0,NA,"Control","R3","25/08/2019","S7","(50.7692893, -1.9704838)",1,35,280,255,1,"N"
"483","30D",3,0,NA,"Control","R3","25/08/2019","S7","(50.7692893, -1.9704838)",1,35,280,255,1,"N"
"484","30D",4,0,NA,"Control","R3","25/08/2019","S7","(50.7692893, -1.9704838)",1,35,280,255,1,"N"
